Product ID,Name,Category,Colour Palette,Pattern,Size Options,Occasion,Brand,Price,Description,Customer Reviews,Sales Target Customer
ASOS-UK-COA-SS25-00001,Casual Coat,Coats,Winter,Striped,"XS, L",Everyday,ASOS Design,16.47,"Casual Coat in Winter tone with Striped pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-HAN-SS25-00002,Stylish Handbag,Handbags,Warm,Plain,"M, L",Formal,Bimba y Lola,158.88,"Stylish Handbag in Warm tone with Plain pattern, suitable for formal occasions.",Mixed,Female
ASOS-UK-TOP-SS25-00003,Casual Tops & T-shirt,Tops & T-shirts,Summery,Plain,"XXL, L",Casual,Kat the Label,315.54,"Casual Tops & T-shirt in Summery tone with Plain pattern, suitable for casual occasions.",Positive,Male
ASOS-UK-SHO-SS25-00004,Classic Shoe,Shoes,Neutral,Striped,"L, XL, XS",Casual,Bimba y Lola,305.56,"Classic Shoe in Neutral tone with Striped pattern, suitable for casual occasions.",Positive,Male
ASOS-UK-COA-SS25-00005,Elegant Coat,Coats,Winter,Striped,"S, M",Party/Occasion Wear,TALA,48.03,"Elegant Coat in Winter tone with Striped pattern, suitable for party/occasion wear occasions.",Positive,Unisex
ASOS-UK-TOP-SS25-00006,Elegant Tops & T-shirt,Tops & T-shirts,Neutral,Floral,"L, XXL, XS",Everyday,Collusion,98.36,"Elegant Tops & T-shirt in Neutral tone with Floral pattern, suitable for everyday occasions.",Positive,Millennials
ASOS-UK-SHO-SS25-00007,Stylish Shoe,Shoes,Winter,Striped,"XS, XXL",Business,TALA,155.23,"Stylish Shoe in Winter tone with Striped pattern, suitable for business occasions.",Mixed,Gen Z
ASOS-UK-TOP-SS25-00008,Elegant Tops & T-shirt,Tops & T-shirts,Summery,Floral,"M, XXL",Everyday,Kat the Label,137.77,"Elegant Tops & T-shirt in Summery tone with Floral pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-JAC-SS25-00009,Stylish Jacket,Jackets,Autumn,Striped,"M, XS",Comfy,Arrange,160.34,"Stylish Jacket in Autumn tone with Striped pattern, suitable for comfy occasions.",Positive,Male
ASOS-UK-JAC-SS25-00010,Trendy Jacket,Jackets,Pastel,Abstract,"S, M, XS",Casual,Arrange,269.15,"Trendy Jacket in Pastel tone with Abstract pattern, suitable for casual occasions.",Mixed,Unisex
ASOS-UK-HAN-SS25-00011,Trendy Handbag,Handbags,Spring,Striped,"M, S",Business,Kat the Label,93.16,"Trendy Handbag in Spring tone with Striped pattern, suitable for business occasions.",Negative,Unisex
ASOS-UK-SHO-SS25-00012,Stylish Shoe,Shoes,Spring,Plain,"XS, XXL, XL, L",Holiday/Trip,TALA,304.02,"Stylish Shoe in Spring tone with Plain pattern, suitable for holiday/trip occasions.",Mixed,Gen Z
ASOS-UK-SHO-SS25-00013,Classic Shoe,Shoes,Autumn,Abstract,"M, XL",Comfy,TALA,76.1,"Classic Shoe in Autumn tone with Abstract pattern, suitable for comfy occasions.",Mixed,Gen Z
ASOS-UK-DRE-SS25-00014,Elegant Dresse,Dresses,Pastel,Plain,"XS, S",Activewear,Bimba y Lola,259.96,"Elegant Dresse in Pastel tone with Plain pattern, suitable for activewear occasions.",Mixed,Female
ASOS-UK-TOP-SS25-00015,Trendy Tops & T-shirt,Tops & T-shirts,Autumn,Striped,"M, S",Activewear,ASOS Design,57.43,"Trendy Tops & T-shirt in Autumn tone with Striped pattern, suitable for activewear occasions.",Mixed,Male
ASOS-UK-HAN-SS25-00016,Elegant Handbag,Handbags,Summery,Plain,"XS, L, M",Business,Reclaimed Vintage,61.99,"Elegant Handbag in Summery tone with Plain pattern, suitable for business occasions.",Mixed,Female
ASOS-UK-COA-SS25-00017,Classic Coat,Coats,Summery,Geometric,"XXL, M, L, XL",Comfy,Arrange,285.28,"Classic Coat in Summery tone with Geometric pattern, suitable for comfy occasions.",Negative,Gen Z
ASOS-UK-SHO-SS25-00018,Stylish Shoe,Shoes,Spring,Plain,"XXL, XS, L",Business,Kat the Label,316.72,"Stylish Shoe in Spring tone with Plain pattern, suitable for business occasions.",Mixed,Male
ASOS-UK-TRO-SS25-00019,Elegant Trouser,Trousers,Winter,Abstract,"S, M, L, XS",Comfy,Collusion,61.63,"Elegant Trouser in Winter tone with Abstract pattern, suitable for comfy occasions.",Positive,Millennials
ASOS-UK-COA-SS25-00020,Elegant Coat,Coats,Pastel,Plain,"M, XS",Party/Occasion Wear,Princess Polly,288.27,"Elegant Coat in Pastel tone with Plain pattern, suitable for party/occasion wear occasions.",Negative,Millennials
ASOS-UK-SHO-SS25-00021,Trendy Shoe,Shoes,Spring,Abstract,"XXL, L, S",Comfy,Princess Polly,278.21,"Trendy Shoe in Spring tone with Abstract pattern, suitable for comfy occasions.",Positive,Male
ASOS-UK-DRE-SS25-00022,Trendy Dresse,Dresses,Autumn,Plain,"XXL, M, XS, L",Holiday/Trip,Arrange,127.26,"Trendy Dresse in Autumn tone with Plain pattern, suitable for holiday/trip occasions.",Negative,Female
ASOS-UK-COA-SS25-00023,Elegant Coat,Coats,Spring,Abstract,"XXL, XL, S, M",Business,Kat the Label,330.06,"Elegant Coat in Spring tone with Abstract pattern, suitable for business occasions.",Negative,Male
ASOS-UK-HAN-SS25-00024,Trendy Handbag,Handbags,Autumn,Striped,"XS, S",Comfy,Kat the Label,80.61,"Trendy Handbag in Autumn tone with Striped pattern, suitable for comfy occasions.",Mixed,Unisex
ASOS-UK-COA-SS25-00025,Stylish Coat,Coats,Autumn,Abstract,"XS, XXL, S",Comfy,Kat the Label,341.82,"Stylish Coat in Autumn tone with Abstract pattern, suitable for comfy occasions.",Positive,Female
ASOS-UK-COA-SS25-00026,Classic Coat,Coats,Autumn,Floral,"XXL, S, XL",Business,Arrange,174.37,"Classic Coat in Autumn tone with Floral pattern, suitable for business occasions.",Negative,Male
ASOS-UK-TRO-SS25-00027,Classic Trouser,Trousers,Neutral,Floral,"M, XS, S, XXL",Activewear,Arrange,229.49,"Classic Trouser in Neutral tone with Floral pattern, suitable for activewear occasions.",Mixed,Gen Z
ASOS-UK-DRE-SS25-00028,Casual Dresse,Dresses,Warm,Striped,"L, XXL, XS",Holiday/Trip,Arrange,173.98,"Casual Dresse in Warm tone with Striped pattern, suitable for holiday/trip occasions.",Mixed,Gen Z
ASOS-UK-TRO-SS25-00029,Casual Trouser,Trousers,Bright,Plain,"XL, XS, XXL, S",Party/Occasion Wear,Arrange,113.11,"Casual Trouser in Bright tone with Plain pattern, suitable for party/occasion wear occasions.",Positive,Gen Z
ASOS-UK-JAC-SS25-00030,Trendy Jacket,Jackets,Neutral,Geometric,"L, XS, M",Everyday,Princess Polly,108.83,"Trendy Jacket in Neutral tone with Geometric pattern, suitable for everyday occasions.",Mixed,Male
ASOS-UK-SHO-SS25-00031,Trendy Shoe,Shoes,Pastel,Plain,"XXL, XS, M, L",Holiday/Trip,TALA,322.53,"Trendy Shoe in Pastel tone with Plain pattern, suitable for holiday/trip occasions.",Positive,Male
ASOS-UK-COA-SS25-00032,Trendy Coat,Coats,Summery,Plain,"S, XL",Business,Princess Polly,109.5,"Trendy Coat in Summery tone with Plain pattern, suitable for business occasions.",Mixed,Female
ASOS-UK-COA-SS25-00033,Classic Coat,Coats,Summery,Geometric,"S, M",Activewear,Princess Polly,147.95,"Classic Coat in Summery tone with Geometric pattern, suitable for activewear occasions.",Positive,Millennials
ASOS-UK-HAN-SS25-00034,Stylish Handbag,Handbags,Pastel,Striped,"XS, XL, XXL",Party/Occasion Wear,Arrange,105.78,"Stylish Handbag in Pastel tone with Striped pattern, suitable for party/occasion wear occasions.",Mixed,Millennials
ASOS-UK-DRE-SS25-00035,Elegant Dresse,Dresses,Pastel,Floral,"S, L, XL, M",Comfy,ASOS Design,16.32,"Elegant Dresse in Pastel tone with Floral pattern, suitable for comfy occasions.",Mixed,Male
ASOS-UK-TRO-SS25-00036,Stylish Trouser,Trousers,Summery,Floral,"XXL, XS, L",Casual,Princess Polly,341,"Stylish Trouser in Summery tone with Floral pattern, suitable for casual occasions.",Positive,Female
ASOS-UK-TRO-SS25-00037,Elegant Trouser,Trousers,Bright,Abstract,"S, M, XXL",Business,Reclaimed Vintage,214.41,"Elegant Trouser in Bright tone with Abstract pattern, suitable for business occasions.",Positive,Male
ASOS-UK-JAC-SS25-00038,Casual Jacket,Jackets,Pastel,Geometric,"S, M",Everyday,ASOS Design,293.73,"Casual Jacket in Pastel tone with Geometric pattern, suitable for everyday occasions.",Mixed,Unisex
ASOS-UK-HAN-SS25-00039,Casual Handbag,Handbags,Winter,Abstract,"S, M, L",Comfy,TALA,107.75,"Casual Handbag in Winter tone with Abstract pattern, suitable for comfy occasions.",Negative,Female
ASOS-UK-DRE-SS25-00040,Casual Dresse,Dresses,Bright,Plain,"XXL, XL, L",Holiday/Trip,Reclaimed Vintage,189.57,"Casual Dresse in Bright tone with Plain pattern, suitable for holiday/trip occasions.",Negative,Gen Z
ASOS-UK-TRO-SS25-00041,Trendy Trouser,Trousers,Winter,Striped,"S, XXL, L",Party/Occasion Wear,TALA,47.52,"Trendy Trouser in Winter tone with Striped pattern, suitable for party/occasion wear occasions.",Mixed,Male
ASOS-UK-SHO-SS25-00042,Casual Shoe,Shoes,Winter,Geometric,"XL, XXL",Party/Occasion Wear,TALA,52.21,"Casual Shoe in Winter tone with Geometric pattern, suitable for party/occasion wear occasions.",Mixed,Gen Z
ASOS-UK-HAN-SS25-00043,Trendy Handbag,Handbags,Bright,Plain,"XL, M, S",Comfy,TALA,96.83,"Trendy Handbag in Bright tone with Plain pattern, suitable for comfy occasions.",Negative,Male
ASOS-UK-DRE-SS25-00044,Trendy Dresse,Dresses,Neutral,Geometric,"XS, S, XXL, M",Holiday/Trip,Reclaimed Vintage,318.47,"Trendy Dresse in Neutral tone with Geometric pattern, suitable for holiday/trip occasions.",Negative,Male
ASOS-UK-COA-SS25-00045,Casual Coat,Coats,Winter,Plain,"XS, M, S",Formal,ASOS Design,347.23,"Casual Coat in Winter tone with Plain pattern, suitable for formal occasions.",Mixed,Female
ASOS-UK-TRO-SS25-00046,Elegant Trouser,Trousers,Spring,Striped,"XS, L, XXL, S",Casual,Princess Polly,264.74,"Elegant Trouser in Spring tone with Striped pattern, suitable for casual occasions.",Positive,Male
ASOS-UK-DRE-SS25-00047,Casual Dresse,Dresses,Neutral,Floral,"L, XS",Comfy,Kat the Label,179.29,"Casual Dresse in Neutral tone with Floral pattern, suitable for comfy occasions.",Mixed,Female
ASOS-UK-DRE-SS25-00048,Classic Dresse,Dresses,Summery,Abstract,"M, L",Formal,TALA,206.59,"Classic Dresse in Summery tone with Abstract pattern, suitable for formal occasions.",Negative,Unisex
ASOS-UK-TRO-SS25-00049,Classic Trouser,Trousers,Neutral,Plain,"XS, L, M, XXL",Activewear,Collusion,47.34,"Classic Trouser in Neutral tone with Plain pattern, suitable for activewear occasions.",Mixed,Unisex
ASOS-UK-SKI-SS25-00050,Elegant Skirt,Skirts,Autumn,Striped,"XL, L, S, XS",Party/Occasion Wear,Arrange,257.36,"Elegant Skirt in Autumn tone with Striped pattern, suitable for party/occasion wear occasions.",Positive,Male
ASOS-UK-SKI-SS25-00051,Stylish Skirt,Skirts,Bright,Floral,"XXL, S, L",Formal,ASOS Design,204.58,"Stylish Skirt in Bright tone with Floral pattern, suitable for formal occasions.",Positive,Male
ASOS-UK-SHO-SS25-00052,Classic Shoe,Shoes,Autumn,Abstract,"S, XXL, XL, L",Comfy,Arrange,272.02,"Classic Shoe in Autumn tone with Abstract pattern, suitable for comfy occasions.",Mixed,Male
ASOS-UK-DRE-SS25-00053,Classic Dresse,Dresses,Neutral,Floral,"XL, XXL",Business,Collusion,214.06,"Classic Dresse in Neutral tone with Floral pattern, suitable for business occasions.",Positive,Millennials
ASOS-UK-DRE-SS25-00054,Stylish Dresse,Dresses,Warm,Plain,"XL, L, XS, XXL",Everyday,Bimba y Lola,310.94,"Stylish Dresse in Warm tone with Plain pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-TRO-SS25-00055,Trendy Trouser,Trousers,Neutral,Plain,"L, XS, XXL, XL",Business,Kat the Label,252.99,"Trendy Trouser in Neutral tone with Plain pattern, suitable for business occasions.",Positive,Male
ASOS-UK-TRO-SS25-00056,Elegant Trouser,Trousers,Winter,Geometric,"XXL, L, S, M",Everyday,Kat the Label,83.41,"Elegant Trouser in Winter tone with Geometric pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-TOP-SS25-00057,Casual Tops & T-shirt,Tops & T-shirts,Summery,Floral,"XL, XXL",Holiday/Trip,Collusion,103.51,"Casual Tops & T-shirt in Summery tone with Floral pattern, suitable for holiday/trip occasions.",Negative,Male
ASOS-UK-TOP-SS25-00058,Classic Tops & T-shirt,Tops & T-shirts,Bright,Plain,"L, S, XXL, XS",Business,TALA,292.58,"Classic Tops & T-shirt in Bright tone with Plain pattern, suitable for business occasions.",Mixed,Female
ASOS-UK-HAN-SS25-00059,Casual Handbag,Handbags,Bright,Floral,"XXL, S",Holiday/Trip,Reclaimed Vintage,194.62,"Casual Handbag in Bright tone with Floral pattern, suitable for holiday/trip occasions.",Negative,Unisex
ASOS-UK-SHO-SS25-00060,Elegant Shoe,Shoes,Neutral,Geometric,"M, L",Holiday/Trip,Princess Polly,182.2,"Elegant Shoe in Neutral tone with Geometric pattern, suitable for holiday/trip occasions.",Mixed,Unisex
ASOS-UK-SHO-SS25-00061,Stylish Shoe,Shoes,Neutral,Geometric,"S, L, XL",Party/Occasion Wear,Reclaimed Vintage,334.39,"Stylish Shoe in Neutral tone with Geometric pattern, suitable for party/occasion wear occasions.",Positive,Gen Z
ASOS-UK-TRO-SS25-00062,Elegant Trouser,Trousers,Pastel,Geometric,"XS, L, XL",Casual,Bimba y Lola,305.14,"Elegant Trouser in Pastel tone with Geometric pattern, suitable for casual occasions.",Mixed,Male
ASOS-UK-HAN-SS25-00063,Elegant Handbag,Handbags,Pastel,Plain,"S, XXL, L, M",Business,Kat the Label,241.54,"Elegant Handbag in Pastel tone with Plain pattern, suitable for business occasions.",Positive,Gen Z
ASOS-UK-COA-SS25-00064,Elegant Coat,Coats,Neutral,Floral,"S, M, XS, XL",Activewear,Collusion,13.94,"Elegant Coat in Neutral tone with Floral pattern, suitable for activewear occasions.",Mixed,Male
ASOS-UK-SKI-SS25-00065,Stylish Skirt,Skirts,Pastel,Abstract,"L, XL, XXL",Everyday,TALA,283.29,"Stylish Skirt in Pastel tone with Abstract pattern, suitable for everyday occasions.",Negative,Unisex
ASOS-UK-TOP-SS25-00066,Classic Tops & T-shirt,Tops & T-shirts,Warm,Geometric,"M, XXL",Activewear,TALA,218.7,"Classic Tops & T-shirt in Warm tone with Geometric pattern, suitable for activewear occasions.",Negative,Millennials
ASOS-UK-SKI-SS25-00067,Trendy Skirt,Skirts,Warm,Striped,"S, XXL, M, XS",Business,Bimba y Lola,35.67,"Trendy Skirt in Warm tone with Striped pattern, suitable for business occasions.",Negative,Gen Z
ASOS-UK-TOP-SS25-00068,Trendy Tops & T-shirt,Tops & T-shirts,Summery,Abstract,"XXL, XS, S",Holiday/Trip,Kat the Label,163.94,"Trendy Tops & T-shirt in Summery tone with Abstract pattern, suitable for holiday/trip occasions.",Mixed,Male
ASOS-UK-SHO-SS25-00069,Stylish Shoe,Shoes,Autumn,Striped,"L, XS",Party/Occasion Wear,ASOS Design,45.46,"Stylish Shoe in Autumn tone with Striped pattern, suitable for party/occasion wear occasions.",Mixed,Male
ASOS-UK-HAN-SS25-00070,Trendy Handbag,Handbags,Winter,Striped,"S, XL",Comfy,Bimba y Lola,29.98,"Trendy Handbag in Winter tone with Striped pattern, suitable for comfy occasions.",Negative,Female
ASOS-UK-COA-SS25-00071,Trendy Coat,Coats,Pastel,Plain,"L, XL",Party/Occasion Wear,Bimba y Lola,169.57,"Trendy Coat in Pastel tone with Plain pattern, suitable for party/occasion wear occasions.",Negative,Male
ASOS-UK-HAN-SS25-00072,Elegant Handbag,Handbags,Winter,Geometric,"M, L, XS, XXL",Business,ASOS Design,232.87,"Elegant Handbag in Winter tone with Geometric pattern, suitable for business occasions.",Negative,Male
ASOS-UK-DRE-SS25-00073,Trendy Dresse,Dresses,Neutral,Striped,"XXL, S",Formal,ASOS Design,279.74,"Trendy Dresse in Neutral tone with Striped pattern, suitable for formal occasions.",Mixed,Female
ASOS-UK-TRO-SS25-00074,Stylish Trouser,Trousers,Pastel,Geometric,"XS, XXL, S, L",Party/Occasion Wear,Reclaimed Vintage,343.72,"Stylish Trouser in Pastel tone with Geometric pattern, suitable for party/occasion wear occasions.",Mixed,Millennials
ASOS-UK-SKI-SS25-00075,Stylish Skirt,Skirts,Pastel,Plain,"XXL, S, XS, M",Holiday/Trip,Bimba y Lola,205.39,"Stylish Skirt in Pastel tone with Plain pattern, suitable for holiday/trip occasions.",Positive,Male
ASOS-UK-SKI-SS25-00076,Trendy Skirt,Skirts,Bright,Floral,"XS, XXL",Business,Reclaimed Vintage,332.2,"Trendy Skirt in Bright tone with Floral pattern, suitable for business occasions.",Positive,Millennials
ASOS-UK-TOP-SS25-00077,Classic Tops & T-shirt,Tops & T-shirts,Pastel,Striped,"M, XL",Formal,Collusion,83.07,"Classic Tops & T-shirt in Pastel tone with Striped pattern, suitable for formal occasions.",Negative,Female
ASOS-UK-DRE-SS25-00078,Casual Dresse,Dresses,Winter,Abstract,"XL, M, XS, L",Casual,Arrange,252.4,"Casual Dresse in Winter tone with Abstract pattern, suitable for casual occasions.",Negative,Unisex
ASOS-UK-COA-SS25-00079,Elegant Coat,Coats,Bright,Floral,"S, XXL, M, XS",Activewear,Bimba y Lola,33.58,"Elegant Coat in Bright tone with Floral pattern, suitable for activewear occasions.",Negative,Millennials
ASOS-UK-SHO-SS25-00080,Stylish Shoe,Shoes,Bright,Floral,"XS, M, XXL, L",Business,Collusion,195.95,"Stylish Shoe in Bright tone with Floral pattern, suitable for business occasions.",Positive,Female
ASOS-UK-JAC-SS25-00081,Stylish Jacket,Jackets,Warm,Floral,"XS, M",Activewear,Arrange,118.8,"Stylish Jacket in Warm tone with Floral pattern, suitable for activewear occasions.",Positive,Unisex
ASOS-UK-JAC-SS25-00082,Classic Jacket,Jackets,Summery,Geometric,"M, L, XS",Everyday,ASOS Design,325.04,"Classic Jacket in Summery tone with Geometric pattern, suitable for everyday occasions.",Positive,Male
ASOS-UK-SKI-SS25-00083,Trendy Skirt,Skirts,Pastel,Abstract,"M, XS, L, XXL",Business,Arrange,232.44,"Trendy Skirt in Pastel tone with Abstract pattern, suitable for business occasions.",Negative,Female
ASOS-UK-DRE-SS25-00084,Trendy Dresse,Dresses,Winter,Plain,"S, XXL, XS, L",Activewear,Kat the Label,208.5,"Trendy Dresse in Winter tone with Plain pattern, suitable for activewear occasions.",Positive,Male
ASOS-UK-COA-SS25-00085,Casual Coat,Coats,Summery,Geometric,"M, S, L, XXL",Party/Occasion Wear,Princess Polly,167.22,"Casual Coat in Summery tone with Geometric pattern, suitable for party/occasion wear occasions.",Positive,Unisex
ASOS-UK-HAN-SS25-00086,Trendy Handbag,Handbags,Winter,Striped,"S, XS, XL, XXL",Activewear,Bimba y Lola,259.94,"Trendy Handbag in Winter tone with Striped pattern, suitable for activewear occasions.",Negative,Gen Z
ASOS-UK-COA-SS25-00087,Trendy Coat,Coats,Summery,Geometric,"XL, XS",Activewear,Kat the Label,37.29,"Trendy Coat in Summery tone with Geometric pattern, suitable for activewear occasions.",Positive,Unisex
ASOS-UK-DRE-SS25-00088,Casual Dresse,Dresses,Neutral,Geometric,"XXL, XS, S",Holiday/Trip,TALA,175.98,"Casual Dresse in Neutral tone with Geometric pattern, suitable for holiday/trip occasions.",Negative,Female
ASOS-UK-SHO-SS25-00089,Classic Shoe,Shoes,Winter,Striped,"L, XS, XXL, M",Activewear,Princess Polly,117.26,"Classic Shoe in Winter tone with Striped pattern, suitable for activewear occasions.",Positive,Millennials
ASOS-UK-HAN-SS25-00090,Casual Handbag,Handbags,Warm,Geometric,"M, XL",Holiday/Trip,TALA,330.86,"Casual Handbag in Warm tone with Geometric pattern, suitable for holiday/trip occasions.",Mixed,Female
ASOS-UK-COA-SS25-00091,Elegant Coat,Coats,Autumn,Abstract,"XXL, XS",Party/Occasion Wear,Collusion,196.36,"Elegant Coat in Autumn tone with Abstract pattern, suitable for party/occasion wear occasions.",Positive,Millennials
ASOS-UK-COA-SS25-00092,Trendy Coat,Coats,Spring,Plain,"XL, XS, L, XXL",Activewear,Arrange,127.14,"Trendy Coat in Spring tone with Plain pattern, suitable for activewear occasions.",Negative,Male
ASOS-UK-SHO-SS25-00093,Elegant Shoe,Shoes,Summery,Striped,"S, XL, L, XS",Activewear,Bimba y Lola,153.88,"Elegant Shoe in Summery tone with Striped pattern, suitable for activewear occasions.",Positive,Millennials
ASOS-UK-DRE-SS25-00094,Trendy Dresse,Dresses,Autumn,Floral,"XS, S",Business,ASOS Design,195.04,"Trendy Dresse in Autumn tone with Floral pattern, suitable for business occasions.",Mixed,Unisex
ASOS-UK-DRE-SS25-00095,Casual Dresse,Dresses,Autumn,Plain,"L, XS, XL",Comfy,Kat the Label,245.58,"Casual Dresse in Autumn tone with Plain pattern, suitable for comfy occasions.",Mixed,Millennials
ASOS-UK-HAN-SS25-00096,Stylish Handbag,Handbags,Pastel,Plain,"XS, M",Business,Reclaimed Vintage,144.82,"Stylish Handbag in Pastel tone with Plain pattern, suitable for business occasions.",Positive,Male
ASOS-UK-TOP-SS25-00097,Trendy Tops & T-shirt,Tops & T-shirts,Warm,Floral,"XS, S, M, XXL",Holiday/Trip,Collusion,259.16,"Trendy Tops & T-shirt in Warm tone with Floral pattern, suitable for holiday/trip occasions.",Positive,Gen Z
ASOS-UK-COA-SS25-00098,Classic Coat,Coats,Pastel,Geometric,"XXL, S, M",Activewear,Arrange,132.48,"Classic Coat in Pastel tone with Geometric pattern, suitable for activewear occasions.",Positive,Gen Z
ASOS-UK-COA-SS25-00099,Elegant Coat,Coats,Neutral,Plain,"M, XXL, XL, L",Comfy,Princess Polly,312.7,"Elegant Coat in Neutral tone with Plain pattern, suitable for comfy occasions.",Positive,Gen Z
ASOS-UK-TRO-SS25-00100,Stylish Trouser,Trousers,Bright,Striped,"XS, XXL",Party/Occasion Wear,Arrange,162.66,"Stylish Trouser in Bright tone with Striped pattern, suitable for party/occasion wear occasions.",Negative,Millennials
